ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,25,0,19,110,209,196,2016/8/6|23:03:10.108
0,0,0,25,0,19,104,0,196,2016/8/6|23:03:10.124
0,0,0,25,0,20,98,0,195,2016/8/6|23:03:10.125
0,0,0,25,0,20,92,-208,191,2016/8/6|23:03:10.171
0,0,0,25,0,20,84,-208,185,2016/8/6|23:03:10.171
0,0,0,25,0,20,95,312,186,2016/8/6|23:03:10.190
0,0,0,25,0,19,111,312,191,2016/8/6|23:03:10.199
0,0,0,25,0,19,113,-103,191,2016/8/6|23:03:10.218
0,0,0,25,0,19,105,-103,187,2016/8/6|23:03:10.235
0,0,0,25,0,18,98,104,186,2016/8/6|23:03:10.268
0,0,0,25,0,18,95,104,186,2016/8/6|23:03:10.269
0,0,0,25,0,17,89,-103,184,2016/8/6|23:03:10.283
0,0,0,25,0,17,81,-103,179,2016/8/6|23:03:10.292
0,0,0,24,0,16,77,-103,175,2016/8/6|23:03:10.327
0,0,0,24,0,16,73,-103,171,2016/8/6|23:03:10.327
0,0,0,24,0,15,68,-103,166,2016/8/6|23:03:10.341
0,0,0,24,0,14,62,-103,161,2016/8/6|23:03:10.347
0,0,0,24,0,13,56,0,158,2016/8/6|23:03:10.357
0,0,0,24,0,11,49,0,156,2016/8/6|23:03:10.391
0,0,0,23,0,9,36,0,153,2016/8/6|23:03:10.392
0,0,0,23,0,9,22,0,151,2016/8/6|23:03:10.410
0,0,0,23,0,7,15,209,151,2016/8/6|23:03:10.415
0,0,0,23,0,7,12,209,154,2016/8/6|23:03:10.431
0,0,0,23,0,6,9,104,154,2016/8/6|23:03:10.448
0,0,0,23,0,6,7,104,154,2016/8/6|23:03:10.484
0,0,0,23,0,6,9,0,152,2016/8/6|23:03:10.484
0,0,0,23,0,6,12,0,150,2016/8/6|23:03:10.497
0,0,0,23,0,6,24,104,149,2016/8/6|23:03:10.508
0,0,0,23,0,5,30,104,149,2016/8/6|23:03:10.519
0,0,0,23,0,5,24,209,150,2016/8/6|23:03:10.548
0,0,0,23,0,5,25,209,152,2016/8/6|23:03:10.549
0,0,0,23,0,5,36,104,153,2016/8/6|23:03:10.566
0,0,0,23,0,5,42,104,152,2016/8/6|23:03:10.582
0,0,0,23,0,5,39,0,150,2016/8/6|23:03:10.611
0,0,0,23,0,5,37,0,148,2016/8/6|23:03:10.612
0,0,0,23,0,5,47,209,148,2016/8/6|23:03:10.633
0,0,0,23,0,5,61,209,150,2016/8/6|23:03:10.653
0,0,0,22,0,2,77,312,154,2016/8/6|23:03:10.670
0,0,0,23,0,2,95,312,158,2016/8/6|23:03:10.678
0,0,0,23,0,3,101,-103,157,2016/8/6|23:03:10.705
0,0,0,23,0,4,99,-103,152,2016/8/6|23:03:10.719
0,0,0,22,0,5,98,0,148,2016/8/6|23:03:10.724
0,0,0,22,0,5,98,0,146,2016/8/6|23:03:10.766
0,0,0,22,0,2,107,312,147,2016/8/6|23:03:10.767
0,0,0,22,0,1,117,312,152,2016/8/6|23:03:10.781
0,0,0,22,0,1,113,0,151,2016/8/6|23:03:10.790
0,0,0,22,0,0,105,0,149,2016/8/6|23:03:10.796
0,0,0,22,0,0,107,209,149,2016/8/6|23:03:10.805
0,0,0,22,0,0,113,209,151,2016/8/6|23:03:10.828
0,0,0,22,0,0,116,0,150,2016/8/6|23:03:10.841
0,0,0,22,0,0,114,0,147,2016/8/6|23:03:10.845
0,0,0,22,0,0,110,0,144,2016/8/6|23:03:10.872
0,0,0,22,0,0,104,0,142,2016/8/6|23:03:10.880
0,0,0,21,0,0,98,104,140,2016/8/6|23:03:10.895
0,0,0,21,0,0,95,104,140,2016/8/6|23:03:10.918
0,0,0,21,0,0,95,104,139,2016/8/6|23:03:10.930
0,0,0,21,0,0,96,104,139,2016/8/6|23:03:10.942
0,0,0,21,0,0,101,104,138,2016/8/6|23:03:10.953
0,0,0,21,0,0,102,104,138,2016/8/6|23:03:10.978
0,0,0,21,0,0,104,312,140,2016/8/6|23:03:10.988
0,0,0,21,0,0,107,312,145,2016/8/6|23:03:10.996
0,0,0,21,0,0,101,104,146,2016/8/6|23:03:11.12
0,0,0,21,0,0,98,104,145,2016/8/6|23:03:11.41
0,0,0,21,0,0,104,0,143,2016/8/6|23:03:11.52
0,0,0,21,0,0,107,0,141,2016/8/6|23:03:11.71
0,0,0,21,0,0,104,-103,136,2016/8/6|23:03:11.77
0,0,0,20,0,0,95,-103,131,2016/8/6|23:03:11.86
0,0,0,20,0,0,83,104,129,2016/8/6|23:03:11.113
0,0,0,20,0,0,78,104,128,2016/8/6|23:03:11.115
